v,change
0.27712848,52
0.264913562,52
0.262681601,52
0.27169061,52
0.270919568,52
0.269458648,52
0.278629981,52
0.272015259,52
0.263858453,52
0.26771366,54
0.266455645,54
0.276479182,54
0.29052025,54
0.262559857,54
0.262235208,54
0.277290804,54
0.262519276,54
0.262519276,54
0.279644509,56
0.265157049,56
0.275748722,56
0.283540297,56
0.269783297,56
0.273476179,56
0.273354436,56
0.277006736,56
0.259840922,58
0.26049022,58
0.281511241,58
0.280537294,58
0.27534291,58
0.265116468,58
0.268362958,58
0.277574872,58
0.274937099,58
0.260003246,58
0.272542813,60
0.265319373,60
0.272867462,60
0.27424722,60
0.271893515,60
0.268362958,60
0.269052837,60
0.274937099,60
0.271203636,60
0.266617969,60
0.278548819,60
0.264223683,62
0.258785813,62
0.275667559,62
0.258826394,62
0.267957146,62
0.265684604,62
0.275058843,62
0.275058843,62
0.26592809,62
0.268971674,62
0.267226686,64
0.27461245,64
0.258420583,64
0.276600925,64
0.278670562,64
0.276925574,64
0.26592809,64
0.268931093,64
0.266739713,64
0.264913562,64
0.258258258,64
0.261707654,66
0.257203149,66
0.282890999,66
0.271771772,66
0.276560344,66
0.273354436,66
0.273841409,66
0.276925574,66
0.266496226,66
0.260814869,66
0.285366448,66
0.282890999,68
0.262641019,68
0.267104943,68
0.260652544,68
0.27712848,68
0.269702135,68
0.266496226,68
0.268931093,68
0.257203149,70
0.265725185,70
0.25939453,70
0.279157536,70
0.27242107,70
0.274450126,70
0.267916565,70
0.267551335,70
0.269986202,70
0.266333901,70
0.262722182,70
0.265725185,72
0.251481211,72
0.255295836,72
0.279725672,72
0.274166058,72
0.268768769,72
0.254565376,72
0.286949111,72
0.264872981,72
0.258461164,72
0.2590293,72
0.275951627,72
0.272664556,72
0.261098937,72
0.256675595,72
0.263777291,72
0.271284798,74
0.26880935,74
0.268160052,74
0.283175067,74
0.270148527,74
0.271163055,74
0.262072884,74
0.263330898,74
0.270432595,74
0.269986202,74
0.252860969,74
0.265846928,74
0.265481698,74
0.284595406,74
0.260693126,74
0.26917458,76
0.27424722,76
0.257730704,76
0.257487217,76
0.263290317,76
0.264507751,76
0.276154533,76
0.260003246,76
0.258866975,76
0.254524795,76
0.274287801,76
0.275992208,76
0.277696616,76
0.261058356,78
0.257324892,78
0.251643535,78
0.267673078,78
0.263574385,78
0.261017775,78
0.280456132,78
0.264629494,78
0.267307848,78
0.263046831,78
0.255498742,78
0.263168574,78
0.258380002,78
0.281430079,78
0.272583394,78
0.24819414,80
0.274815356,80
0.260977193,80
0.275911046,80
0.258298839,80
0.267875984,80
0.264710657,80
0.257040825,80
0.252211671,80
0.274328382,80
0.256919081,84
0.249127506,84
0.247788329,84
0.250060872,84
0.275911046,84
0.269702135,84
0.260287314,84
0.266333901,84
0.272015259,84
0.268606444,84
0.275261748,84
0.268322376,84
0.2510754,86
0.247057869,86
0.247057869,86
0.26917458,86
0.271081893,86
0.26012499,86
0.261058356,86
0.257811866,86
0.282647512,86
0.270513757,86
